Carspector Fake Examiners,,,,,,,,,,,,
,,,,,,,,,,,,
No,Name,Picture,Price,rated,Rating,Description,Ausbildungen & Können 1,Ausbildungen & Können 2,Ausbildungen & Können 3,Stärken 1,Stärken 2,Stärken 3
11,Marco Huber,https://pbs.twimg.com/profile_images/1137004207117131777/jxnBvBLk_400x400.png,329,4,4.4,"Sehr geehrte Damen und Herren, gerne helfe ich Ihnen, Ihren gewünschten Gebrauchtwagen zu untersuchen und genau unter die Lupe zu nehmen! Durch meine Kenntnisse rund ums Thema Gebrauchtwagen und Fachwissen im Bereich Motor/ Lack und Getriebe bin ich Ihr geeigneter Experte für die nächste Gebrauchtwagenprüfung. Am Tag der Prüfung können Sie mir gerne so viele Fragen stellen, wie Sie möchten, damit wir alles klären können!",Ausbildung im Bereich Kfz,Fortbildungen ,Zertifizierter Gebrauchtwagenprüfer,Fachwissen,Sehr genau und detailliert,Freundlich
12,Ludwig Richter,https://profile-images.xing.com/images/bf7e44dcba80d6c0bad9627cc02f9cde-3/wolfgang-mann.1024x1024.jpg,199,11,4.9,"Hallo zusammen. Sie sind auf der Suche nach einem neuen Gebrauchtwagen? Dann sind Sie bei mir genau richtig. Ich helfe Ihnen, mehr über das gewünschte Fahrzeug zu erfahren und erkläre Ihnen alle Informationen zu Problemen, Fehlern und Mängeln. Ich zeige Ihnen auch alle tollen Dinge an diesem Auto, damit wir gemeinsam herausfinden können, ob dieses Auto das Richtige für Sie ist oder ob wir lieber nach einem anderen Fahrzeug schauen sollten!",Studium Bereich Maschinenbau,Schulung zum Thema Lack & Unfallschäden,,Jahrelange Erfahrung,Marktkenntnis,Nett
13,Erich Hartmann,https://media.istockphoto.com/id/1336324740/de/foto/spa%C3%9F-auf-einer-gartenparty.jpg?s=612x612&w=0&k=20&c=d25a01AblXgSiveSW4HbyW3zzr3g_JvK8u7aSYlzvbs=,179,28,4.3,"Während meiner Ausbildungszeit wusste ich schon, dass Autos meine Leidenschaft sind und dass ich mein Leben lang eine Verbindung zu Autos haben würde. Meine Inspiration ist es, Kunden zum Lächeln zu bringen und sie so glücklich und zufrieden wie möglich zu machen. Ich würde mich freuen, Teil Ihres Gebrauchtwagenkaufs zu sein! Die erforderlichen Qualifikationen und Zusatzschulungen habe ich bei zertifizierten Prüfstellen erfolgreich absolviert und bin somit bestens vorbereitet! Danke!",Kfz-Mechaniker,Kfz-Meister,Prüfer auch für E-Fahrzeuge,Viel Erfahrung mit Gebrauchtwagen,Hartnäckig,Freundlich & auf Ihrer Seite
14,Bastian Krause,https://s3-eu-west-1.amazonaws.com/jamedade/doctor/55d3a2/55d3a276ed8f5c4375fa7113401db31e_large.jpg,499,17,4.6,"Als leidenschaftlicher Automobil-Enthusiast und hochqualifizierter Fachmann verfüge ich über eine solide Ausbildung und umfassende Kenntnisse im Bereich der Fahrzeuginspektion. Mein Ziel ist es, durch präzise Kontrollen und klares Reporting einen nachhaltigen Mehrwert zu schaffen. Ich glaube, dass ich mit meiner Erfahrung einen positiven Beitrag leisten kann und freue mich darauf, meine Begeisterung an Ihr neues Fahrzeug weiterzugeben.",Mechaniker Ausbildung ,Fortbildung zum Gutachter ,Geprüfter Gutachter nach ADAC,Umfassendes Fachwissen,Genau,Gute Recherche
15,Justin Köhler,https://d2bw7v1ep7mzfe.cloudfront.net/images/2020/2/3/justin_koehler.jpg?width=300,209,8,4.2,"Ich kann durch meine langjährige Erfahrung als Gebrauchtwagen-Gutachter, TÜV-Prüfer und ausgebildeter Kfz-Mechatroniker alle Fehler oder Mängel erkennen. Ich beantworte Ihre Fragen, erfülle Ihre Wünsche und gehe stets auf Ihre Vorstellungen ein. Wenn Sie möchten, können wir eine Probefahrt durchführen, um einen genauen Überblick über alles zu erhalten. Ich würde mich sehr freuen!",Schulung im Bereich Gutachten,Gebrauchtwagen-Prüfer-Weiterbildung,Schulungen in vielen Themen,Erfahrung,Kommunikationsfähigkeit,Kundenorientierung
16,Antonov Petrov,https://profile-images.xing.com/images/409ab96c9427df9f49caea2c117a20ce-2/hendrik-ru%C3%9Fe.1024x1024.jpg,229,26,4.8,"Hallo! Durch meine Kenntnisse und jahrelange Erfahrung im Bereich Gebrauchtwagen/ Neuwagen prüfe ich Ihr gewünschtes Fahrzeug nach strengen Kriterien. Ich habe spezielle Werkzeuge und Geräte, womit ich das Fahrzeug genau untersuchen werde. Für Wünsche und Fragen stehe ich natürlich jederzeit zur Verfügung und somit können wir zusammen sicherstellen, ob das Fahrzeug für Sie geeignet ist. Ich würde mich sehr freuen, Sie zu unterstützen! VG",Ausbildung zum Kfz-Mechatroniker,Lack & Karosserie Experte,,Analytische Fähigkeiten,Objektivität,Verhandlungsgeschick
17,Hiroshi Tanaka,https://i1.rgstatic.net/ii/profile.image/11431281103851697-1669864605754_Q512/Hiroshi-Tanaka-9.jpg,289,19,4.1,"Da ich eine umfassende technische Ausbildung und eine ausgeprägte Leidenschaft für Fahrzeuge habe, habe ich mir ein tiefgreifendes Verständnis für die Anforderungen an eine gründliche Prüfung angeeignet. Meine präzisen Inspektionsfähigkeiten ermöglichen es mir, Fahrzeuge auf Herz und Nieren zu prüfen und eventuelle Mängel genau zu identifizieren. Die transparente Berichterstattung, die ich pflege, stellt sicher, dass alle relevanten Informationen klar und verständlich kommuniziert werden",Ausbildung zum Karosseriebauer,Karosseriemeister,,Ethisch,Flexibel,Effizient
18,Rafael Fernandez,https://i1.rgstatic.net/ii/profile.image/1073775168716800-1633019358141_Q512/Rafael-Fernandez-Simon.jpg,279,5,4.7,"Als leidenschaftlicher Autoliebhaber und technisch versierter Profi bringe ich eine solide Ausbildung und umfassende Kenntnisse im Bereich der Fahrzeuginspektion mit. Mein Ziel ist es, durch präzise Inspektionen und klare Berichterstattung einen nachhaltigen Mehrwert zu schaffen. Mit meiner Erfahrung bin ich überzeugt, dass ich einen positiven Beitrag leisten kann und freue mich darauf, meinen Enthusiasmus für ihr neues Fahrzeug einzubringen.",Mechaniker ,Motor Experte,,Sicherheitsbewusstsein,Technologiekenntnis,Durchsetzungsvermögen
19,Julia Seifert,https://www.westend61.de/images/0001577697l/weiblicher-mechaniker-mit-hand-am-kinn-lehnt-in-der-werkstatt-KNSF08904.jpg,199,30,4.4,"Durch meine fundierte technische Ausbildung und meine tiefe Leidenschaft für Fahrzeuge verbinde ich Fachkenntnisse mit Herzblut. Präzise Inspektionen sind für mich selbstverständlich, und meine transparente Berichterstattung schafft Klarheit. Als Teil von Carspector bin ich entschlossen, nicht nur Autos zu prüfen, sondern auch zur kontinuierlichen Verbesserung der Prüfungen beizutragen. Mein Ziel ist es, mit meiner Expertise einen nachhaltigen Beitrag zu Ihrer Kaufentscheidung zu leisten.",Ausbildung als Kfz-Mechanikerin,Fachgebiet Motor,Geprüft für E-Autos,Auffassungsgabe,Lösungsorientiert,Dokumentationsbewusstsein
20,Miguel da Silva,"https://www.kcl.ac.uk/newimages/person-profile/2021/miguel-da-silva.xd72fd527.jpg?w=812&h=540&crop=540,540,209,0",189,15,4.5,"Buchen Sie mich und erleben Sie eine neue Art von Gebrauchtwagenprüfugen. Ich werde Sie von A-Z begleiten und Sie werden die ganze Zeit an meiner Seite stehen, während ich Ihr gewünschtes Fahrzeug untersuche. Ich bin für Ihre Fragen offen und gehe selbstverständlich auf Ihre Wünsche und Vorstellungen ein. Ich erstelle ein professionelles Gutachten und werde Sie am Ende beraten und Ihnen eine Empfehlung aussprechen. Ich freue mich!",Ausbildung im Bereich Kfz,Fortbildungen ,Zertifizierter Gebrauchtwagenprüfer,Marktkenntnis,Gutes Urteilsvermögen,Verantwortung
21,Viktor Schmidt,https://pbs.twimg.com/profile_images/1293253461870628864/GzCINi-P_400x400.jpg,339,3,4,"Erleben Sie eine innovative Form der Gebrauchtwagenprüfung. Von Anfang bis Ende stehe ich Ihnen zur Seite und begleite Sie durch den gesamten Prozess der Fahrzeuguntersuchung. Während ich Ihr gewünschtes Fahrzeug inspiziere, können Sie sich darauf verlassen, dass ich stets an Ihrer Seite bin. Ihre Fragen sind willkommen, und ich werde selbstverständlich auf Ihre individuellen Wünsche und Vorstellungen eingehen.",Studium Bereich Maschinenbau,Schulung zum Thema Lack & Unfallschäden,,Empatisch,Risikobewertung,Schnell aber genau
22,Lars Andersen,https://i1.rgstatic.net/ii/profile.image/1123667681513472-1644914660327_Q512/Lars-Andersen-25.jpg,245,12,4.3,"Hallo zusammen. Bist du auf der Suche nach einem neuen Gebrauchtwagen? Dann bist du bei mir genau richtig. Ich helfe dir, dein gewünschtes Fahrzeug genau kennenzulernen und erkläre dir alles über Fehler, Probleme und Mängel. Ebenfalls zeige ich dir alles positive über das Auto und so finden wir zusammen heraus, ob das Fahrzeug was für dich ist, oder wir lieber ein anderes nehmen sollten!",Kfz-Mechaniker,Kfz-Meister,Prüfer auch für E-Fahrzeuge,Zertifiziert,Präzise,Routiniert
23,Amir Al-Farsi,https://profile-images.xing.com/images/5b4517e6a3c8d27070d3325fd218c94e-2/amir-arsalan-taqavi.1024x1024.jpg,200,27,4.9,"Mit meiner umfangreichen Erfahrung als Gebrauchtwagen-Gutachter bzw. TÜV-Prüfer und ausgebildeter Kfz-Mechatroniker finde ich jeden Fehler bzw. Mangel. Ich beantworte deine Fragen, gehe auf deine Wünsche ein und stehe dir die ganze Zeit zur Seite. Gerne machen wir eine Probefahrt, um einmal in alles genau reinhören zu können. Zusammen sind wir ein Team, ich freue mich!",Mechaniker Ausbildung ,Fortbildung zum Gutachter ,Geprüfter Gutachter nach ADAC,Fachwissen,Sehr genau und detailliert,Freundlich
24,Alejandro Hernandez,https://media.licdn.com/dms/image/C4E03AQFjEgXffS7ulg/profile-displayphoto-shrink_800_800/0/1620842121095?e=2147483647&v=beta&t=F_Fl_fmFfThaR1sh5qhWUT5ATK113l2WqA_YSgBy1eM,250,20,4.6,"Schon während meiner Schulzeit wusste ich, dass Autos meine Leidenschaft sind und ich mein Leben lang etwas mit Autos zu tun haben werde. Kunden ein Lächeln ins Gesicht zu zaubern und sie möglichst zufrieden und glücklich zu machen, ist meine Motivation. Ich würde mich freuen, wenn Sie sich für mich entscheiden! Ich habe Qualifikationen und Weiterbildungen an zertifizierten Prüfstellen absolviert und bin daher optimal eingearbeitet! Danke!",Schulung im Bereich Gutachten,Gebrauchtwagen-Prüfer-Weiterbildung,Schulungen in vielen Themen,Jahrelange Erfahrung,Marktkenntnis,Nett
25,Ali Hajjar,https://media.istockphoto.com/id/1090878400/de/foto/portr%C3%A4t-des-l%C3%A4chelns-gut-aussehender-mann-in-blauen-polo-shirt-stand-mit-verschr%C3%A4nkten-armen.jpg?s=612x612&w=0&k=20&c=mO237Mwn40Iqbz84j6mHNF3D_gVHh_R3S23ts9ah3aQ=,300,10,4.1,"Guten Tag! Mit meinem Wissen und meiner langjährigen Erfahrung im Gebraucht-/Neuwagenbereich überprüfe ich Ihr Wunschfahrzeug nach strengen Maßstäben. Ich verfüge über spezielle Werkzeuge und Geräte, mit denen ich Fahrzeuge sorgfältig inspiziere. Gerne stehe ich für alle Wünsche und Fragen zur Verfügung, damit wir gemeinsam sicherstellen können, dass das Fahrzeug das Richtige für Sie ist. Ich unterstütze Sie gerne! Viele Grüße und bis bald!",Ausbildung zum Kfz-Mechatroniker,Lack & Karosserie Experte,,Viel Erfahrung mit Gebrauchtwagen,Hartnäckig,Freundlich & auf Ihrer Seite
26,Henri Dubois,https://www.fluter.de/sites/default/files/philippe.jpg,400,22,4.5,"Sehr geehrte Damen und Herren, gerne helfe ich Ihnen, Ihren gewünschten Gebrauchtwagen zu untersuchen und genau unter die Lupe zu nehmen! Durch meine Kenntnisse rund ums Thema Gebrauchtwagen und Fachwissen im Bereich Motor/ Lack und Getriebe bin ich Ihr geeigneter Experte für die nächste Gebrauchtwagenprüfung. Am Tag der Prüfung können Sie mir gerne so viele Fragen stellen, wie Sie möchten, damit wir alles klären können!",Ausbildung zum Karosseriebauer,Karosseriemeister,,Umfassendes Fachwissen,Genau,Gute Recherche
27,Pavel Kowalski,https://media.licdn.com/dms/image/C5603AQGoj4jAslEygg/profile-displayphoto-shrink_400_400/0/1516350343801?e=2147483647&v=beta&t=ldOF_rZwXqlT_7-9k01jVXMPRDgCT88BGHh6yZdHNHQ,500,16,4.2,"Hallo zusammen. Sie sind auf der Suche nach einem neuen Gebrauchtwagen? Dann sind Sie bei mir genau richtig. Ich helfe Ihnen, mehr über das gewünschte Fahrzeug zu erfahren und erkläre Ihnen alle Informationen zu Problemen, Fehlern und Mängeln. Ich zeige Ihnen auch alle tollen Dinge an diesem Auto, damit wir gemeinsam herausfinden können, ob dieses Auto das Richtige für Sie ist oder ob wir lieber nach einem anderen Fahrzeug schauen sollten!",Mechaniker ,Motor Experte,,Erfahrung,Kommunikationsfähigkeit,Kundenorientierung
28,Ivan Petrov,https://media.licdn.com/dms/image/C4E03AQFcNeav9Vj-vg/profile-displayphoto-shrink_800_800/0/1603713637780?e=2147483647&v=beta&t=oIHi3gva-nTHG3AtCvFER0ydUcAa6-83ulHgoiOdRiU,249,24,4.7,"Während meiner Ausbildungszeit wusste ich schon, dass Autos meine Leidenschaft sind und dass ich mein Leben lang eine Verbindung zu Autos haben würde. Meine Inspiration ist es, Kunden zum Lächeln zu bringen und sie so glücklich und zufrieden wie möglich zu machen. Ich würde mich freuen, Teil Ihres Gebrauchtwagenkaufs zu sein! Die erforderlichen Qualifikationen und Zusatzschulungen habe ich bei zertifizierten Prüfstellen erfolgreich absolviert und bin somit bestens vorbereitet! Danke!",Studium zum Ingenieur der Fahrzeugtechnik,Weiterbildungen und Schulungen ,Zertifizierung als Gebrauchtwagenprüfer vom TÜV,Analytische Fähigkeiten,Objektivität,Verhandlungsgeschick
29,Arjun Patel,https://static.craveteck.pk/uxhwfwvm59e7by4mfit9qy24r03n.jpeg,445,2,4.4,"Als leidenschaftlicher Automobil-Enthusiast und hochqualifizierter Fachmann verfüge ich über eine solide Ausbildung und umfassende Kenntnisse im Bereich der Fahrzeuginspektion. Mein Ziel ist es, durch präzise Kontrollen und klares Reporting einen nachhaltigen Mehrwert zu schaffen. Ich glaube, dass ich mit meiner Erfahrung einen positiven Beitrag leisten kann und freue mich darauf, meine Begeisterung an Ihr neues Fahrzeug weiterzugeben.",Ausbildung im Bereich Kfz,Fortbildungen ,Zertifizierter Gebrauchtwagenprüfer,Ethisch,Flexibel,Effizient
30,Wei Zhang,https://www.claymath.org/wp-content/uploads/2022/04/wei-zhang-cropped.jpg,259,1,4.8,"Ich kann durch meine langjährige Erfahrung als Gebrauchtwagen-Gutachter, TÜV-Prüfer und ausgebildeter Kfz-Mechatroniker alle Fehler oder Mängel erkennen. Ich beantworte Ihre Fragen, erfülle Ihre Wünsche und gehe stets auf Ihre Vorstellungen ein. Wenn Sie möchten, können wir eine Probefahrt durchführen, um einen genauen Überblick über alles zu erhalten. Ich würde mich sehr freuen!",Studium Bereich Maschinenbau,Schulung zum Thema Lack & Unfallschäden,,Zertifiziert,Präzise,Routiniert
